fips,county_name,state_abb,state_fips,county_fips,county_ns
,Autauga County,AL,1,1,161526
,Baldwin County,AL,1,3,161527
,Barbour County,AL,1,5,161528
,Bibb County,AL,1,7,161529
,Blount County,AL,1,9,161530
,Bullock County,AL,1,11,161531
,Butler County,AL,1,13,161532
,Calhoun County,AL,1,15,161533
,Chambers County,AL,1,17,161534
,Cherokee County,AL,1,19,161535
,Chilton County,AL,1,21,161536
,Choctaw County,AL,1,23,161537
,Clarke County,AL,1,25,161538
,Clay County,AL,1,27,161539
,Cleburne County,AL,1,29,161540
,Coffee County,AL,1,31,161541
,Colbert County,AL,1,33,161542
,Conecuh County,AL,1,35,161543
,Coosa County,AL,1,37,161544
,Covington County,AL,1,39,161545
,Crenshaw County,AL,1,41,161546
,Cullman County,AL,1,43,161547
,Dale County,AL,1,45,161548
,Dallas County,AL,1,47,161549
,DeKalb County,AL,1,49,161550
,Elmore County,AL,1,51,161551
,Escambia County,AL,1,53,161552
,Etowah County,AL,1,55,161553
,Fayette County,AL,1,57,161554
,Franklin County,AL,1,59,161555
,Geneva County,AL,1,61,161556
,Greene County,AL,1,63,161557
,Hale County,AL,1,65,161558
,Henry County,AL,1,67,161559
,Houston County,AL,1,69,161560
,Jackson County,AL,1,71,161561
,Jefferson County,AL,1,73,161562
,Lamar County,AL,1,75,161563
,Lauderdale County,AL,1,77,161564
,Lawrence County,AL,1,79,161565
,Lee County,AL,1,81,161566
,Limestone County,AL,1,83,161567
,Lowndes County,AL,1,85,161568
,Macon County,AL,1,87,161569
,Madison County,AL,1,89,161570
,Marengo County,AL,1,91,161572
,Marion County,AL,1,93,161573
,Marshall County,AL,1,95,161574
,Mobile County,AL,1,97,161575
,Monroe County,AL,1,99,161576
,Montgomery County,AL,1,101,161577
,Morgan County,AL,1,103,161578
,Perry County,AL,1,105,161579
,Pickens County,AL,1,107,161580
,Pike County,AL,1,109,161581
,Randolph County,AL,1,111,161582
,Russell County,AL,1,113,161583
,St. Clair County,AL,1,115,164997
,Shelby County,AL,1,117,161584
,Sumter County,AL,1,119,161585
,Talladega County,AL,1,121,161586
,Tallapoosa County,AL,1,123,161587
,Tuscaloosa County,AL,1,125,161588
,Walker County,AL,1,127,161589
,Washington County,AL,1,129,161590
,Wilcox County,AL,1,131,161591
,Winston County,AL,1,133,161592
,Aleutians East Borough,AK,2,13,1419964
,Aleutians West Census Area,AK,2,16,1419965
,Anchorage Municipality,AK,2,20,1416061
,Bethel Census Area,AK,2,50,1419966
,Bristol Bay Borough,AK,2,60,1419967
,Chugach Census Area,AK,2,63,2804400
,Copper River Census Area,AK,2,66,2804401
,Denali Borough,AK,2,68,1419988
,Dillingham Census Area,AK,2,70,1419968
,Fairbanks North Star Borough,AK,2,90,1419969
,Haines Borough,AK,2,100,1419970
,Hoonah-Angoon Census Area,AK,2,105,2371430
,Juneau City and Borough,AK,2,110,1419971
,Kenai Peninsula Borough,AK,2,122,1419972
,Ketchikan Gateway Borough,AK,2,130,1419973
,Kodiak Island Borough,AK,2,150,1419974
,Kusilvak Census Area,AK,2,158,1419985
,Lake and Peninsula Borough,AK,2,164,1419975
,Matanuska-Susitna Borough,AK,2,170,1419976
,Nome Census Area,AK,2,180,1419977
,North Slope Borough,AK,2,185,1419978
,Northwest Arctic Borough,AK,2,188,1419979
